Issue number,Title,Description,Date created,Date modified,Labels,Milestone,Status,Assignee,Reporter
299,Carer missed prescription notification,"![avdxanvk2-8g39usib4h50q_kpvfr9emze-xtg97ksh8](https://cloud.githubusercontent.com/assets/8849593/6732531/5e560e4e-ce44-11e4-9919-811ab9e65627.jpg)

This is an issue on the web notifcations too",19/Mar/15 10:30 AM,19/Mar/15 10:38 AM,android API web ,None,closed,stephent23,benmcgregor
298,Delete Prescription,"Deleting a prescription for JoeBloggs as janedoe caused prescription of sophie to be deleted.

- [x] Dashboard
- [x] MyPatients",19/Mar/15 10:00 AM,19/Mar/15  1:47 PM,bug High Priority web ,None,closed,RichLogan,RichLogan
297,Store profile picture in the session variable,Profile picture doesn't update without this,19/Mar/15  8:34 AM,19/Mar/15 10:24 AM,Medium Priority web ,None,closed,benmcgregor,benmcgregor
296,Issue208,"",19/Mar/15  7:26 AM,19/Mar/15  7:27 AM,"",None,closed,None,benmcgregor
295,Notification content: Connection code,"Need the connection code to give a bit more information.

""Give this code ____ to the {{firstname}} {{lastname}} so they can accept your request""",18/Mar/15  4:20 PM,19/Mar/15  7:27 AM,API Awaiting Merge web ,None,closed,benmcgregor,benmcgregor
294,Issue234,"",18/Mar/15  3:39 PM,18/Mar/15  3:40 PM,"",None,closed,None,benmcgregor
293,Notes,"",18/Mar/15  2:57 PM,18/Mar/15  2:58 PM,"",None,closed,None,charlottehutchinson
292,Design issue fixing,"",18/Mar/15 11:42 AM,18/Mar/15 12:01 PM,"",None,closed,None,benmcgregor
291,Cprofile,"",18/Mar/15 11:22 AM,18/Mar/15 11:22 AM,"",None,closed,None,charlottehutchinson
290,Android issues fixing,"",18/Mar/15 10:22 AM,18/Mar/15 10:22 AM,bug High Priority ,None,closed,stephent23,stephent23
289,Android login fix,"",18/Mar/15 10:21 AM,18/Mar/15 10:21 AM,"",None,closed,None,stephent23
288,Delete prescription fails ,It works on android just not web ,18/Mar/15 10:15 AM,18/Mar/15  1:45 PM,High Priority web ,None,closed,stephent23,charlottehutchinson
287,Login fixed/Reset Password fixed (Android),"",18/Mar/15  9:13 AM,18/Mar/15  9:13 AM,android bug High Priority ,None,closed,stephent23,stephent23
286,Cprofile,"",18/Mar/15  8:44 AM,18/Mar/15  8:44 AM,"",None,closed,None,charlottehutchinson
285,android dates,"",18/Mar/15  7:45 AM,18/Mar/15  7:45 AM,"",None,closed,None,charlottehutchinson
284,fixing issue deactivate account form and android dates,"",18/Mar/15  7:41 AM,18/Mar/15  7:41 AM,"",None,closed,None,charlottehutchinson
283,Fixes 277,This was caused because of the appointment being set to private on update. This is now fixed and no carerPatient appointment can be marked as true. ,18/Mar/15  7:30 AM,18/Mar/15  7:30 AM,API bug web ,None,closed,None,stephent23
282,Password Reset Later,"Doesn't log in, redirected back to login when Reset Later is selected. ",18/Mar/15  6:58 AM,18/Mar/15 10:22 AM,android bug High Priority ,None,closed,None,stephent23
281,Reset Password ,"Crashes the application, in relation to test 8.88",18/Mar/15  6:53 AM,18/Mar/15 10:22 AM,android bug High Priority ,None,closed,None,stephent23
280,Appointment form design,Add (dd/mm/yyyy) to labels on all appointments forms because the placeholders don't show in IE,18/Mar/15  6:51 AM,18/Mar/15 12:01 PM,Awaiting Merge web ,None,closed,benmcgregor,benmcgregor
279,Reminders Carer,Take reminders out of notifications drawer. Retest test 8.53,18/Mar/15  6:49 AM,19/Mar/15 12:16 PM,Medium Priority web ,None,closed,stephent23,RichLogan
278,Take Prescription Notification,"Functionality doesn't actually exist yet. Needs to be added but should be straightforward, just send alert on create of TakePrescription instance :smile: ",18/Mar/15  6:39 AM,19/Mar/15  8:42 AM,android High Priority ,None,closed,stephent23,RichLogan
277,Update Patient/Carer Appointment,This deletes the appointment. ,18/Mar/15  6:28 AM,18/Mar/15 12:44 PM,bug High Priority web ,None,closed,stephent23,stephent23
276,Prescription form wording,"When you add medication for a patient, can the form please say the same things as the web one?",18/Mar/15  6:25 AM,18/Mar/15 11:22 AM,android ,None,closed,charlottehutchinson,benmcgregor
275,Patient/Carer Add Appointment,Crashes the application. ,18/Mar/15  6:19 AM,18/Mar/15 10:32 AM,android bug High Priority ,None,closed,stephent23,stephent23
274,Add prescription,"Dropdown is black, don't know if this is to do with my phone theme, but other dropdowns on my phone don't do it

![screenshot 18 mar 2015 10-15-23](https://cloud.githubusercontent.com/assets/8849593/6706718/1e093d12-cd58-11e4-970d-813352844df3.png)
",18/Mar/15  6:18 AM,18/Mar/15 11:22 AM,android ,None,closed,charlottehutchinson,benmcgregor
273,Admin portal doesnt show patient accounts,"",18/Mar/15  6:10 AM,18/Mar/15 12:01 PM,Awaiting Merge web ,None,closed,benmcgregor,charlottehutchinson
272,Edit Prescription,"Unable to select the days that it should be taken on both android and web

- [x] Android
- [x] Web Set Check
- [x] Web load checked",18/Mar/15  6:03 AM,19/Mar/15  2:58 PM,android High Priority web ,None,closed,stephent23,stephent23
271,Correspondence box not dynamic with the page ,"![screen shot 2015-03-18 at 09 58 00](https://cloud.githubusercontent.com/assets/8778114/6706417/48e2c86c-cd55-11e4-8f39-ba4a9ce208a3.png)
",18/Mar/15  5:58 AM,18/Mar/15 12:01 PM,Awaiting Merge web ,None,closed,benmcgregor,charlottehutchinson
270,Complete Connection Notification,"Works, but would be nice to list the name / username",18/Mar/15  5:52 AM,19/Mar/15  1:24 PM,API ,None,closed,benmcgregor,RichLogan
269,Delete Medication,Internal Server Error: Failing test 6.2 ,18/Mar/15  5:51 AM,18/Mar/15  5:57 AM,bug High Priority web ,None,closed,None,stephent23
268,Incorrect Code,Crash on entering incorrect code,18/Mar/15  5:51 AM,18/Mar/15  9:55 AM,API web ,None,closed,charlottehutchinson,RichLogan
267,Logout,"Not sure what's going on, but crashed when logged in as patient after accept connection request",18/Mar/15  5:50 AM,18/Mar/15 10:01 AM,web ,None,closed,charlottehutchinson,RichLogan
266,Delete Patient Prescription,It is not obvious how to delete a prescription. I think the edit button should be changed to Update/Delete (Easy change) or there should be another button added next to the Edit button. ,18/Mar/15  5:49 AM,18/Mar/15 12:01 PM,Awaiting Merge enhancement Low Priority web ,None,closed,benmcgregor,stephent23
265,Edit Patient Prescription,"No drop down box for the patient medication, giving one that does not exist gives an internal server error. ",18/Mar/15  5:41 AM,18/Mar/15 12:01 PM,Awaiting Merge High Priority web ,None,closed,benmcgregor,stephent23
264,Carer View Patient Prescription,"I don't think that this is obvious that they are able to edit it because of the scrolling issue. Perhaps we are able to write at the top? Not sure that the grey, read only boxes are user friendly? ",18/Mar/15  5:37 AM,18/Mar/15  8:15 AM,enhancement web ,None,closed,charlottehutchinson,stephent23
263,"After completing a connection on android it take you back to incoming, should it take you back to connections or the home page?","",18/Mar/15  5:34 AM,19/Mar/15  7:43 AM,android ,None,closed,charlottehutchinson,charlottehutchinson
262,Deactivate Account,"- Doesn't appear to work
- Should probably be Async w/ loading
",18/Mar/15  5:32 AM,18/Mar/15 12:21 PM,android High Priority ,None,closed,stephent23,RichLogan
261,Cancel connections android ,"Clicking on cancel connection on the 'outgoing' connections, it cancels then the connection takes ages then the page firstly loads on incoming then changes to outgoing.",18/Mar/15  5:28 AM,19/Mar/15  6:29 AM,android enhancement ,None,closed,charlottehutchinson,charlottehutchinson
260,Reset password form doesn't work in IE,"I think the problem is it not reading the DOB field correctly

If the correct data is put in, it gives notification that the data is incorrect.",18/Mar/15  5:27 AM,19/Mar/15 12:47 PM,web ,None,closed,charlottehutchinson,benmcgregor
259,Deactivate Account Layout,"Layout looks very odd on Firefox

![screen shot 2015-03-18 at 09 26 05](https://cloud.githubusercontent.com/assets/5224832/6705870/d8d3011c-cd50-11e4-80c9-621d2f99b3a7.png)
",18/Mar/15  5:26 AM,18/Mar/15  7:21 AM,web ,None,closed,charlottehutchinson,RichLogan
258,Forgot Password,Returns page not found error to android application. ,18/Mar/15  5:26 AM,18/Mar/15 10:52 AM,android API bug High Priority ,None,closed,stephent23,stephent23
257,Reset password form order,Form needs reordering so DOB isn't at the bottom,18/Mar/15  5:22 AM,18/Mar/15 12:01 PM,Awaiting Merge web ,None,closed,benmcgregor,benmcgregor
256,Web: Reset password wording,"Page currently says: 'Please enter your username below to be sent an email to reset your password'

This isn't correct as this is already the page to reset the password",18/Mar/15  5:20 AM,18/Mar/15 12:01 PM,Awaiting Merge web ,None,closed,benmcgregor,benmcgregor
255,Login android failed,Re-directed me to the registration page when I pressed login. Unsure of cause. Test 2.85 Failed. Please re-test. ,18/Mar/15  5:10 AM,18/Mar/15 10:22 AM,android bug High Priority ,None,closed,stephent23,stephent23
254,Search- should we display profile picture?,"",18/Mar/15  5:09 AM,18/Mar/15  1:23 PM,question web ,None,closed,charlottehutchinson,charlottehutchinson
253,Default ProfilePicture not being set,"",18/Mar/15  5:09 AM,18/Mar/15 12:36 PM,API High Priority ,None,closed,charlottehutchinson,RichLogan
252,Render_Template,"Render_template rather than redirect:

- [x] Register
- [x] Deactivate",18/Mar/15  5:08 AM,18/Mar/15  2:58 PM,web ,None,closed,charlottehutchinson,RichLogan
251,Profile picture of connected use doesnt display when clicking on 'connections',(same with correspondence),18/Mar/15  5:07 AM,18/Mar/15  8:44 AM,Awaiting Merge web ,None,closed,charlottehutchinson,charlottehutchinson
250,Web: Registration validation CSS,"On the username, DOB and email check field
It doesn't remove the CSS classes so after inputting an invalid entry, then replacing it with a valid one, the 'invalid' colour class remains despite the words changing.

- [x] DOB
- [x] Username
- [x] Email
- [x] Password",18/Mar/15  5:06 AM,18/Mar/15  3:08 PM,Low Priority web ,None,closed,RichLogan,benmcgregor
249,Dates Android (hint),There is no hint to say that the date format should be YYYY-MM-DD.,18/Mar/15  5:04 AM,18/Mar/15  7:41 AM,android enhancement Medium Priority ,None,closed,charlottehutchinson,stephent23
248,Front page video doesn't run in IE/Safari,"",18/Mar/15  4:56 AM,18/Mar/15 12:31 PM,Low Priority web ,None,closed,benmcgregor,benmcgregor
247,Login loading,"",18/Mar/15  4:50 AM,18/Mar/15  4:50 AM,"",None,closed,None,RichLogan
246,finished form design,"",17/Mar/15  7:35 PM,17/Mar/15  7:35 PM,"",None,closed,None,benmcgregor
245,Patient Notes TypeError: string indices must be integers,"",17/Mar/15  2:55 PM,19/Mar/15  7:38 AM,High Priority web ,None,closed,charlottehutchinson,RichLogan
244,Prescription check boxes broken web ,"",17/Mar/15  1:38 PM,19/Mar/15  7:34 AM,bug High Priority web ,None,closed,RichLogan,charlottehutchinson
243,Profile Picture,"Generated filename too long. 

Cause is database length restriction",17/Mar/15 12:58 PM,18/Mar/15  4:50 AM,database ,None,closed,None,RichLogan
242,Medication Name not displaying on MissedPrescription,"",17/Mar/15 12:24 PM,18/Mar/15  4:50 AM,Awaiting Merge ,None,closed,RichLogan,RichLogan
241,Profile picture is not working for me ,"Trying to upload a profile picture whilst on raptor, click update and nothing happens",17/Mar/15 11:23 AM,17/Mar/15 12:33 PM,API High Priority ,None,closed,None,charlottehutchinson
240,Issue172,"'All fields must be filled in' javascript validation now complete on all pages, AFAIK.",17/Mar/15 10:26 AM,17/Mar/15 10:26 AM,"",None,closed,None,benmcgregor
239,Front page edit,"",16/Mar/15  8:12 PM,16/Mar/15  8:12 PM,"",None,closed,None,benmcgregor
238,Issue fixing,"",16/Mar/15 12:25 PM,16/Mar/15 12:26 PM,"",None,closed,None,charlottehutchinson
237,Issue fixing,"",16/Mar/15 12:21 PM,16/Mar/15 12:24 PM,"",None,closed,None,charlottehutchinson
236,Prescription android211,"- Fixes #211 
- Lots of Asynchronous good stuff
- Loading on MyPatients, CarerPrescriptions, EditPrescriptions

:+1: ",16/Mar/15 12:07 PM,16/Mar/15 12:07 PM,"",None,closed,None,RichLogan
235,Adding labels to the tiles on android home screen,"",16/Mar/15 11:28 AM,16/Mar/15 11:28 AM,android enhancement Medium Priority ,None,closed,stephent23,stephent23
234,Delete connection bug,"If you remove a connection from the patient side, it removes the connections in the order listed on the carer account

I.e if I'm trying to remove a connection that is 3rd in the carer's list of patients, it will take 3 attempts to remove the correct connections, and removes connections 1 and 2 in the process.",16/Mar/15 10:22 AM,18/Mar/15  3:40 PM,bug High Priority web ,None,closed,benmcgregor,benmcgregor
233,Issue186,Yet to do form validation on dashboards,16/Mar/15  7:53 AM,16/Mar/15  7:53 AM,"",None,closed,None,benmcgregor
232,Form validation on appointments,Not on dashboards,16/Mar/15  7:46 AM,16/Mar/15  7:46 AM,"",None,closed,None,benmcgregor
231,Ping Server Transactions,"",16/Mar/15  7:37 AM,19/Mar/15 11:20 AM,API bug High Priority ,None,closed,stephent23,RichLogan
230,Data error on appointment create,"Need to dates and times are valid. This isn't javascript!
Error shown below

![image](https://cloud.githubusercontent.com/assets/8849593/6665325/0629675a-cbd0-11e4-9380-8816c98bcfe1.png)
",16/Mar/15  7:36 AM,17/Mar/15  1:34 PM,API bug ,None,closed,stephent23,benmcgregor
229,View Appointment Details,Also fixed the NHS Search Button Size. ,16/Mar/15  6:22 AM,16/Mar/15  6:22 AM,android Medium Priority ,None,closed,stephent23,stephent23
228,Error with updating an invitee appointment,"If you try to update an appointment for any patient from the carer side, you get this error:

![image](https://cloud.githubusercontent.com/assets/8849593/6658800/164249a8-cb6d-11e4-81d1-5da86e4b9e3c.png)
",15/Mar/15  7:44 PM,16/Mar/15  8:07 AM,bug High Priority web ,None,closed,None,benmcgregor
227,Update prescription notification,"When a prescription is updated, it works successfully, but the notification shown to user is 'Failed'",15/Mar/15  5:49 PM,16/Mar/15  8:04 AM,Low Priority web ,None,closed,None,benmcgregor
226,Issue212,Fixed,15/Mar/15  5:46 PM,15/Mar/15  5:46 PM,"",None,closed,None,benmcgregor
225,Security has broken getAllAppointments,"```
@app.route('/api/getAllAppointments', methods=['POST'])
@auth.login_required
def getAllAppointments():
    #if verifyContentRequest(request.form['loggedInUser'], request.form['targetUser']):
    return getAllAppointments(request.form['loggedInUser'], request.form['targetUser'])
```",15/Mar/15  5:24 PM,16/Mar/15  5:00 AM,API High Priority ,None,closed,stephent23,stephent23
224,Front page design update,"",15/Mar/15  2:24 PM,15/Mar/15  2:24 PM,"",None,closed,None,benmcgregor
223,Issue210,"Fixes #210 
Fixes #214 

Made parts of Profile Asyncronous to display what is already stored in Shared Preferences.
Made Connections permit network on main for now",15/Mar/15 10:17 AM,15/Mar/15 10:18 AM,"",None,closed,None,RichLogan
222,Server check,"",15/Mar/15 10:10 AM,15/Mar/15 10:10 AM,"",None,closed,None,RichLogan
221,Accepted appointment does not appear in my appointments on the dashboard,"",12/Mar/15 10:03 AM,12/Mar/15 10:04 AM,"",None,closed,None,charlottehutchinson
220,Prescription Tracking numbers,AJAX suddenly seems to be sending 0 boxes checked as 1. Probably something tiny. HTML/JS side. ,12/Mar/15  9:51 AM,18/Mar/15  1:30 PM,High Priority web ,None,closed,RichLogan,RichLogan
219,Logins required for PingServer functions to run,"",12/Mar/15  7:22 AM,19/Mar/15  1:01 PM,API Low Priority ,None,closed,None,RichLogan
218,Reminders web,"",12/Mar/15  7:08 AM,12/Mar/15  7:08 AM,"",None,closed,None,RichLogan
217,Search NHS doesnt work on Raptor,"",11/Mar/15  8:08 AM,16/Mar/15  7:46 AM,android API Medium Priority web ,None,closed,stephent23,charlottehutchinson
216,Edit profile take you to the old profile page when submitting the form,"",11/Mar/15  7:43 AM,11/Mar/15  7:45 AM,"",None,closed,None,charlottehutchinson
215,Security Fix,This should fix all of the issues in relation to the security vulnerability that was identified. ,10/Mar/15  2:27 PM,10/Mar/15  2:28 PM,API ,None,closed,stephent23,stephent23
214,Clicking on profile page causes the app to crash ,Page opens then after about 5 seconds just crashes and takes you back to the login screen,10/Mar/15  2:00 PM,15/Mar/15 10:18 AM,android bug ,None,closed,stephent23,charlottehutchinson
213,Delete appointment android doesnt work ,"",10/Mar/15  1:48 PM,15/Mar/15  5:36 PM,android bug High Priority ,None,closed,stephent23,charlottehutchinson
212,Unable to edit a prescription ,"When you try and edit a prescription the model never closes and updates. 
Steps- 
Click on a prescription to edit
Change part of the prescription 
Click edit at the bottom 

![screen shot 2015-03-10 at 17 24 24](https://cloud.githubusercontent.com/assets/8778114/6580734/65d47d14-c74a-11e4-837c-1b14a6bdaf3f.png)

The table then freezes and you are unable to add click any buttons",10/Mar/15  1:25 PM,15/Mar/15  5:46 PM,bug High Priority web ,None,closed,benmcgregor,charlottehutchinson
211,Prescription android,"- [x] No option to add days of the week
- [x] No responce after adding the medication just stays on the add prescription page
- [x] Edit not prepopulating
- [x] Check Intent extras for performance",09/Mar/15  5:28 PM,16/Mar/15 12:07 PM,android High Priority ,None,closed,RichLogan,charlottehutchinson
210,Clicking on incoming connections android causes the app to crash,"Clicking on the connections page, incomming connections if you try and enter in the code the page crashes and takes you back to the home page",09/Mar/15  5:12 PM,15/Mar/15 10:18 AM,android bug High Priority ,None,closed,RichLogan,charlottehutchinson
209,Unable to delete a connection without authentication web ,"",09/Mar/15  5:08 PM,13/Mar/15  8:16 AM,Medium Priority question ,None,closed,charlottehutchinson,charlottehutchinson
208,All connection notification appear in the connections modal?,"",09/Mar/15  4:59 PM,19/Mar/15  7:27 AM,Awaiting Merge Medium Priority web ,None,closed,benmcgregor,charlottehutchinson
207,'Already requested' takes you to the old profile page,"",09/Mar/15  4:57 PM,10/Mar/15 12:23 PM,"",None,closed,None,charlottehutchinson
206,Create connection,"After searching for a user to connect to, if you click connect you get the error 
ValueError: No JSON object could be decoded",09/Mar/15  4:55 PM,12/Mar/15 11:46 AM,android Low Priority ,None,closed,None,charlottehutchinson
205,Prescription checkboxes,"",09/Mar/15 11:31 AM,09/Mar/15 11:33 AM,"",None,closed,None,charlottehutchinson
204,Portal graphs,"",09/Mar/15 10:29 AM,09/Mar/15 10:29 AM,"",None,closed,None,benmcgregor
203,New Validation,- [ ] Date of Birth not valid on chrome register and edit profile,09/Mar/15  6:25 AM,18/Mar/15  9:26 AM,duplicate ,Validation,closed,RichLogan,charlottehutchinson
202,Front page,"",06/Mar/15 12:56 PM,06/Mar/15 12:57 PM,"",None,closed,None,RichLogan
201,Android Patient/Carer Correspondence,All android correspondence is complete for patient carer. Implemented in the same way as web. Accessible from the action bar on the patient home page and the my patients area from the carer side. You are able to add notes from the carer side from the action bar within the patient correspondence area. ,06/Mar/15  7:52 AM,06/Mar/15  7:53 AM,android ,None,closed,stephent23,stephent23
200,Android: Logout Broken,"Log out crashes the app on android, appears that the error is caught but this needs to be looked into. ",06/Mar/15  7:02 AM,06/Mar/15  8:44 AM,android bug Medium Priority ,None,closed,None,stephent23
199,Search bar on admin portal not working ,"",06/Mar/15  6:08 AM,06/Mar/15  7:26 AM,"",None,closed,None,charlottehutchinson
198,Admin portal,"Merging admin portal, graph showing on statistics page is currently just a demo.
Will fix this at the weekend.",05/Mar/15  7:24 PM,05/Mar/15  7:24 PM,"",None,closed,None,benmcgregor
197,Push notifications,"",05/Mar/15  1:06 PM,05/Mar/15  1:06 PM,"",None,closed,None,stephent23
196,Correspondence,"",04/Mar/15 12:17 PM,04/Mar/15 12:18 PM,"",None,closed,None,charlottehutchinson
195,Carer: Patient invitee appointment that is due error,"Iteration 8: Test 19

Test fails due to a notification error
![image](https://cloud.githubusercontent.com/assets/8849593/6469854/c0f25220-c1d7-11e4-87d8-e78d5fc1f3b3.png)

This error shows on the carer account, connected patient account is fine and notification shows",03/Mar/15  3:03 PM,06/Mar/15  5:40 AM,Awaiting Merge bug testing web ,None,closed,stephent23,benmcgregor
194,Android Design,"",02/Mar/15 11:52 AM,02/Mar/15 11:53 AM,"",None,closed,None,RichLogan
193,Prescriptions,"None are displaying on patient or carer side. Hopefully to do with the changes from the other day, but I don't have the willpower/energy left to look at it now",01/Mar/15  1:16 PM,12/Mar/15 11:48 AM,Awaiting Merge ,None,closed,RichLogan,RichLogan
192,No Response: Carer create patient appointment,"Just blank redirects to MyPatients. 

Should probably show success message with relevant patient collapse opened. ",01/Mar/15 12:38 PM,06/Mar/15  1:11 PM,web ,None,closed,None,RichLogan
191,More profile pictures,"",01/Mar/15 10:49 AM,01/Mar/15 10:49 AM,"",None,closed,None,RichLogan
190,Android Profile Pictures,"",01/Mar/15 10:29 AM,01/Mar/15 10:29 AM,"",None,closed,None,RichLogan
